359 428 535 1617 2848
asset 2 0 2 17 24
disposals 0 0 0 0 2
4.5 2 2 2 5 30
francs, 0 0 1 5 19
Imasco 0 0 0 0 2
Limited 2 0 0 6 5
&lt;IMS.TO>. 0 0 0 0 1
predicted 8 4 6 8 15
rough 0 2 0 0 1
today's 8 13 22 7 5
figures 20 42 26 1 83
gains. 1 0 2 1 5
WHEELING 0 0 0 0 1
LAKE 0 0 0 2 7
ERIE 0 0 0 0 1
RAILWAY 0 0 0 2 1
&lt;WLE> 0 0 0 0 1
1.4375 0 0 0 0 2
3 0 7 6 12 26
Dividend 0 0 0 0 34
paid 6 25 8 57 92
Norfolk 0 0 0 16 2
Corp's 8 0 0 61 10
&lt;NSC> 0 0 0 5 1
Western 12 9 14 54 11
Railway 0 0 0 10 1
Co. 5 4 1 22 18
OHIO 0 0 0 5 5
MATTRESS 0 0 0 1 1
&lt;OMT> 0 0 0 1 1
ACQUISITION, 0 0 0 2 0
SETTLEMENT 0 0 0 3 0
Ohio 2 1 0 14 5
Mattress 0 0 0 2 0
itr 0 0 0 1 0
executed 0 0 1 9 0
Sealy 0 0 0 11 4
Michigan 1 1 0 14 3
Detroit 0 0 0 3 0
licensee 0 0 0 6 2
Mattress's 0 0 0 1 0
involves 0 0 1 12 1
Sealy. 0 0 0 3 1
redeemed, 0 0 0 1 0
raising 5 3 5 14 11
Mattress' 0 0 0 1 0
93 0 1 1 3 11
litigation 0 0 0 15 8
Sealy, 0 0 0 1 0
alleging 0 0 0 1 0
violations 3 0 0 9 2
antitrust 0 0 0 10 2
laws, 0 0 0 1 2
liable 0 0 0 2 0
damages 4 0 1 12 2
48.6 0 0 0 2 0
adjustment, 0 0 0 2 0
regulatory 2 3 2 68 21
approvals. 0 0 0 11 4
12.5 2 1 1 8 40
NOVA 2 0 0 0 2
AN 0 0 0 0 3
ALBERTA 1 0 0 0 3
1.09 0 0 0 1 12
BOLIDEN 0 0 0 11 2
TAKES 0 0 0 16 8
OVER 2 2 3 17 0
ALLIS-CHALMERS 0 0 0 8 0
DIVISION 1 0 0 14 1
Swedish 6 0 1 27 6
mining 3 0 1 23 8
metals 1 0 1 18 6
Boliden 0 0 0 13 3
AB 0 0 0 32 13
Allis-Chalmers 0 0 0 11 0
amounting 0 0 2 3 7
crowns. 0 0 0 5 6
Kjell 0 0 0 4 0
Nilsson 0 0 0 4 0
unit, 3 0 0 37 18
described 2 2 5 11 1
world's 13 7 9 8 3
producer 10 7 1 17 2
mineral 1 0 0 8 5
processing 3 3 0 19 5
industry, 7 3 3 12 9
positive 7 3 2 8 17
synergy 0 0 0 2 0
effects 6 3 7 4 12
mining, 0 0 0 3 1
engineering 2 1 2 8 16
opportunities 5 0 2 7 9
materials 3 1 0 24 6
handling 0 6 0 4 0
Boliden's 0 0 0 3 0
Trelleborg 0 0 0 2 1
AB. 0 0 0 1 2
selling 17 7 34 44 14
suffering 1 2 3 3 1
big 2 6 12 10 6
operation. 2 1 3 16 10
Allis-Chalmers' 0 0 0 3 0
ARGENTINE 2 11 0 0 0
MAIZE, 0 3 0 0 0
SOYBEAN 0 5 0 0 0
FALL 10 10 15 0 5
Argentine 2 18 0 0 1
maize 0 93 2 0 0
soybean 2 47 0 0 0
harvest 1 46 0 1 0
1986/87 5 99 6 1 24
7.7 1 5 1 3 13
tonnes, 4 124 0 0 2
7.8 1 5 0 3 9
8.2 0 2 0 6 4
8.4 2 4 0 4 8
mid-February. 0 2 2 0 0
lowest 4 11 5 2 1
8.5 3 5 4 3 14
12.7 0 2 0 1 8
7.1 0 7 2 5 15
figures, 1 4 2 1 5
record. 0 1 0 0 1
area 21 43 2 14 14
3.7 1 5 0 4 16
hectares 0 33 0 0 0
13.8 0 3 0 4 17
temperatures 0 24 0 0 0
inadequate 0 4 1 9 1
soybean-producing 0 2 0 0 0
belt 1 7 0 0 0
Cordoba 0 6 0 0 0
Santa 3 13 0 54 0
Fe 0 9 0 36 0
Buenos 0 23 0 0 0
Aires 0 15 0 0 0
province. 1 3 0 0 0
heat 0 3 0 3 2
lack 8 5 3 1 3
rain 1 14 0 0 0
leave 6 5 10 9 3
pods 0 4 0 0 0
empty, 0 1 0 0 0
Cordoba. 0 1 0 0 0
Intense 0 2 0 0 0
rains 0 43 0 0 0
crops, 0 16 0 0 0
slight 0 3 3 2 0
areas. 1 8 0 6 6
Rains 0 2 0 0 0
isolated 1 2 2 0 0
weak 9 2 7 0 13
province, 2 4 1 0 0
mm. 0 4 0 0 0
There 11 23 18 14 8
recorded 2 4 2 2 31
grain-producing 0 3 0 0 0
provinces. 0 5 0 0 0
skies 0 1 0 0 0
seasonable 0 1 0 0 0
temperatures, 0 1 0 0 0
fields 39 13 0 1 1
able 11 10 9 23 16
weeks, 2 1 5 5 3
accelerate 1 1 4 2 3
maize, 0 18 0 0 0
sunflower 0 12 0 2 0
sorghum 0 35 0 0 0
harvesting. 0 1 0 0 0
Crops 0 2 0 0 0
considered 6 9 12 19 2
generally 10 6 12 4 10
condition, 0 2 0 2 0
though 10 10 6 5 12
judge 0 1 0 2 0
intense 1 2 0 0 0
long-term 3 6 11 23 22
damage. 0 4 0 1 0
advanced 0 6 2 13 4
planted, 0 3 0 0 0
Total 10 14 6 1 24
3.58 0 3 0 0 1
3.78 0 3 0 0 1
hectares, 0 15 0 0 0
3.85 0 5 0 0 6
harvest. 0 9 0 0 0
9.9 0 6 0 16 11
10.2 2 5 2 0 15
figure 12 15 9 5 33
21.1 0 3 0 0 8
22.7 0 3 0 0 3
12.8 0 4 1 4 13
produced 20 14 4 8 10
harvest, 0 5 0 0 0
area, 3 13 1 3 4
29.9 0 7 0 1 3
36.3 0 4 0 0 5
3.14 0 4 0 0 3
harvest's 0 3 0 0 0
2.6 2 6 2 10 20
34.1 0 4 0 1 6
41.5 0 5 0 0 10
Yields 0 1 0 0 0
varied 0 1 0 0 0
widely 0 1 12 4 3
feared 1 1 4 3 1
taken 11 20 21 37 23
toll 0 2 0 0 1
and, 1 5 7 1 4
consequently, 0 1 0 0 0
volume. 0 1 0 1 3
1.3 9 3 5 14 29
15.2 0 4 1 3 19
1.4 7 7 4 12 33
Estimates 0 4 0 0 1
remained 7 8 25 7 11
3.2 9 6 2 6 16
16.7 2 5 1 0 11
4.2 6 8 3 4 17
VERTEX 0 0 0 1 1
&lt;VETX> 0 0 0 1 1
shr 0 0 0 0 515
40,870 0 0 0 0 1
39,827 0 0 0 0 1
584,855 0 0 0 0 1
727,432 0 0 0 0 1
24,311 0 0 0 0 1
26,947 0 0 0 0 1
1,246,992 0 0 0 0 1
1,497,251 0 0 0 0 1
exclude 0 2 0 6 70
150,865 0 0 0 0 1
termination 0 0 0 11 14
retirement 0 0 0 5 20
salaried 0 0 0 2 1
employees. 2 0 0 10 4
Also 0 2 2 4 10
83,100 0 0 0 0 1
90,400 0 0 0 0 1
carryforwards. 0 0 0 1 17
September 8 31 24 27 29
SCI 0 0 0 2 0
&lt;SCIS> 0 0 0 1 0
FORTUNE 0 0 0 3 0
&lt;FSYS> 0 0 0 1 0
COMPUTER 0 0 0 9 19
ASSETS 0 0 2 19 0
Fortune 0 0 0 8 0
covering 6 5 7 9 2
Fortune's 0 0 0 1 0
microcomputer 0 0 0 1 0
unspecified 5 1 3 9 3
desktop 0 0 0 1 0
systems. 1 0 1 11 5
DOME 0 0 0 6 7
MINES 0 0 0 3 13
AT 17 26 40 16 7
RIGHT 1 0 0 4 1
PRICE, 2 0 0 2 0
SPOKESMAN 0 0 2 4 0
RISING 0 2 2 1 2
TAIWAN 0 12 10 0 0
CAUSES 0 0 1 0 0
FOREIGN 7 4 8 5 0
RESERVES 14 0 22 0 1
suffered 4 6 1 1 9
3.4 5 2 3 5 11
Dlrs 2 11 14 15 10
July 5 24 5 13 56
Currency. 0 0 6 0 0
Yu 0 0 5 0 0
Chien-ming, 0 0 1 0 0
statistics 0 4 2 0 1
department, 0 0 1 1 0
parliament 2 1 3 1 0
continues 2 3 2 16 18
strengthen. 0 0 1 0 0
opened 2 5 27 9 10
34.24 0 0 1 0 0
Dollar 0 0 18 0 8
Some 13 19 21 20 5
33 7 0 4 28 70
Taiwan's 0 8 22 0 0
At 7 10 13 23 18
end-February 0 0 2 0 1
52.1 0 0 2 0 3
largest 33 12 12 82 33
Japan. 0 1 12 7 6
earned 1 0 7 19 95
totalled 10 18 4 9 13
1.68 0 1 1 1 2
managed 3 0 4 8 2
deposited 0 0 1 3 0
170 1 0 13 8 6
Britain, 2 2 34 2 0
Singapore. 1 0 1 1 2
75 4 8 4 21 32
form 4 13 10 33 24
cash, 1 4 3 40 5
mostly 4 0 2 5 6
Dollars. 0 0 1 0 0
rest 8 7 8 11 13
bills, 0 2 8 0 0
certificates 0 59 12 3 15
deposit 0 0 11 5 5
bonds. 0 0 2 1 0
PHILIP 0 0 0 0 3
CROSBY 0 0 0 3 2
&lt;PCA> 0 0 0 0 1
DELAYED 0 3 0 1 1
Philip 0 0 4 1 10
Crosby 0 0 0 4 6
Associates 0 1 1 30 5
delayed 5 7 8 11 8
cited 1 7 6 10 13
in-house 0 0 0 0 1
embezzlement 0 0 0 0 1
subsequent 1 1 0 7 4
auditors 0 0 0 0 10
situation 11 22 21 11 6
reason 2 8 17 12 11
delay. 0 0 0 0 1
Crosby, 0 0 0 0 1
believes 9 3 6 30 19
calling 3 0 5 5 3
cts, 0 1 1 1 20
valid. 2 0 0 1 1
SOUTHERN 0 1 0 14 11
HOSPITALITY 0 0 0 2 2
&lt;SHOS> 0 0 0 0 1
3RD 0 0 0 0 172
FEB 0 0 0 0 147
1,128,412 0 0 0 0 1
548,054 0 0 0 0 1
9,827,784 0 0 0 0 1
926,924 0 0 0 0 1
527,004 0 0 0 0 1
32.3 0 0 0 0 6
37.5 0 0 0 7 11
ESTIMATED 0 2 0 0 1
FRENCH 2 18 3 8 0
BARLEY 0 17 0 0 0
STOCKS 23 5 0 0 0
WORRYING 0 1 0 0 0
ONIC 0 7 0 0 0
size 1 3 5 12 5
carryover 0 2 0 0 1
barley 0 64 0 0 0
stocks, 5 6 0 3 1
1.72 0 1 0 2 5
700,000 6 8 0 3 11
worrying, 0 1 0 0 0
Cereals 0 13 0 0 0
Intervention 1 9 1 0 0
(ONIC) 0 3 0 0 0
Director 2 6 8 5 4
Bernard 0 2 0 0 2
Vieux 0 4 0 0 0
journalists 0 1 6 2 5
these 32 26 38 29 29
forecasts 7 7 9 1 14
lowered 4 6 2 10 14
5.76 0 1 0 0 1
1985/86. 2 10 0 2 7
awarding 0 2 0 1 0
larger 9 3 7 11 7
outlets 0 1 0 1 3
intervention. 0 1 11 0 0
already 29 30 29 114 23
detailing 0 1 0 1 0
amount. 0 1 1 9 2
better 15 12 21 23 34
exports 59 74 49 2 12
non-EC 0 10 0 0 0
155,000 0 1 0 0 2
Commission's 0 5 0 3 0
special 5 14 16 71 32
tenders 0 16 2 3 0
FORD 0 0 0 0 9
MOTOR 0 0 0 1 7
LTD 0 0 0 3 103
8.17 0 0 0 0 3
55 2 1 1 13 65
DEFICIT 0 0 19 1 0
FORECAST 3 0 24 0 1
Among 5 1 18 5 2
factors 4 6 34 3 11
affecting 3 7 17 0 2
liquidity, 0 1 18 0 0
maturing 0 0 27 0 0
hands 0 1 19 4 6
take-up 0 0 19 0 0
drain 1 1 28 0 2
650 0 0 2 2 7
banker's 0 0 1 0 0
balances 0 0 22 1 0
Partly 0 0 12 0 0
offsetting 2 0 12 1 2
outflows, 0 0 11 0 0
exchequer 0 0 20 0 0
transactions 2 3 40 23 3
note 0 0 23 16 9
circulation 0 0 23 9 0
add 5 2 35 12 12
respectively. 8 4 17 4 42
SALOMON 0 0 0 0 2
CATERPILLAR 0 0 0 0 1
&lt;CAT> 0 0 0 0 1
OPINION 0 0 0 0 6
Salomon 4 0 3 16 6
Brothers 7 0 4 25 6
raised 32 9 21 59 47
opinion 0 1 6 4 19
Caterpillar 0 0 0 2 1
aggressive 2 1 3 1 5
brighter 0 0 0 0 1
1988. 3 3 5 4 24
analyst 25 18 8 61 40
Sutliff 0 0 0 0 2
sees 5 2 3 9 20
3.35 0 0 0 0 5
remains 11 4 18 14 20
2.50 0 2 2 3 13
Caterpillar's 0 0 0 0 1
1/2 1 1 4 2 2
points 1 9 15 5 6
46-1/4. 0 0 0 0 1
"Although 2 0 0 1 1
poor 1 15 1 2 10
quarters, 0 0 0 0 3
begin 15 12 4 12 14
surge 0 3 8 0 3
1989," 0 1 0 0 2
prices, 47 22 13 2 9
demand. 3 4 7 0 5
stick 6 4 0 2 2
Japanese 24 15 170 102 19
competitor, 0 0 0 1 1
Komatsu, 0 0 0 0 1
ADOBE 0 0 0 1 1
&lt;ADB>, 0 0 0 1 0
HIGH 0 0 1 2 1
PLAINS 1 0 0 1 1
&lt;HPOC> 0 0 0 1 0
Adobe 0 0 0 3 2
High 0 1 0 11 2
Plains 1 3 0 4 1
Adobe. 0 0 0 1 0
exchanged 0 5 1 14 1
1.12 1 1 1 1 15
common. 0 0 0 17 1
exchange, 1 1 3 6 0
date 2 10 4 38 27
companies' 0 0 0 5 0
boards 0 0 0 18 0
Plains' 0 0 0 1 0
HUGHES 0 0 0 14 2
TOOL 0 0 0 14 1
IT 9 0 13 74 10
APPROVES 1 5 1 13 2
REVISED 0 0 18 3 0
TERMS 0 0 0 4 0
WITH 4 2 7 57 3
BAKER 3 0 27 16 0
INTERNATIONAL 0 1 0 54 67
JAPAN 4 5 51 12 5
SATISFIED 0 0 3 0 0
CURRENT 1 0 10 0 2
RANGE 0 0 2 0 0
satisfied 3 1 10 5 1
range, 2 1 6 1 2
pledge 0 2 3 1 1
applied 4 3 3 5 2
directions, 0 0 2 0 0
rise. 5 2 11 0 0
Unilateral 0 0 2 0 0
itself 8 1 8 16 6
ensure 3 4 6 5 4
stability, 2 0 8 0 0
useful 1 0 5 0 1
coordinated 0 0 9 0 0
banks, 3 0 23 10 6
time, 6 6 7 12 8
specific. 0 0 2 1 2
Kiichi 0 0 28 0 0
Miyazawa 0 0 63 0 0
Friday 13 5 17 19 3
dollar/yen 0 0 13 0 0
necessarily 0 1 12 1 2
satisfactory 0 0 6 14 16
economy. 12 2 19 2 3
destabilize 0 0 2 0 0
markets, 2 7 13 4 5
lessening 0 0 2 0 0
fear 2 8 10 0 0
completely 1 3 4 2 2
unexpected 0 1 2 0 3
economy 19 3 50 2 15
Or 1 0 4 2 0
resumption 0 1 2 0 1
down. 2 0 17 2 2
Japan's 3 7 26 27 4
national 34 11 17 18 6
(GNP) 0 0 2 0 0
That 2 5 11 11 6
performance 1 2 21 6 45
Domestic 6 2 3 1 11
demand 75 8 43 5 17
1987/88, 5 0 5 0 4
external 2 0 21 1 3
sector 10 5 18 8 29
negative 4 8 11 0 18
GNP 0 0 9 0 1
percentage 2 4 11 9 6
point, 0 3 7 1 0
boost 23 4 20 14 7
economy's 0 0 2 0 0
policy, 2 4 17 3 7
stimulating 1 0 8 0 0
economy, 1 1 25 1 2
half. 2 0 2 0 20
Although 5 8 9 7 11
see 20 16 48 21 17
imminent 0 2 4 3 0
inflation, 0 0 9 0 0
problems 9 13 15 9 19
future, 2 1 9 7 2
sitting 1 0 2 1 0
barrel 82 0 3 5 2
powder, 0 0 2 0 0
fortunately 0 0 2 0 0
wet," 0 0 2 0 0
Liquidity 0 0 3 0 0
households 0 0 3 0 0
corporate 4 0 7 32 30
substantially, 0 0 2 0 2
liquidity 3 0 66 1 7
boom 3 0 2 1 0
inflow 0 0 7 0 0
funds 1 1 83 17 31
occurring 2 0 2 0 0
countries, 8 10 23 0 2
continue, 5 2 3 0 0
hoping 1 1 5 2 3
Reserve 9 6 78 11 1
Paul 3 1 13 17 2
Volcker 0 0 28 0 0
re-appointed 0 0 1 0 0
term 7 4 20 16 33
expires 0 4 4 11 1
"He's 0 0 1 0 0
great 1 3 6 2 2
man," 0 0 1 0 0
reappointment. 0 0 1 0 0
Turning 0 0 5 0 4
imbalance 0 1 5 1 0
show 15 14 26 11 43
through. 1 0 1 0 0
Even 1 2 7 1 1
begun 0 3 7 8 2
impact, 0 0 2 0 2
although 18 11 18 12 28
strong, 0 0 1 0 1
LENNAR 0 0 0 1 1
&lt;LEN> 0 0 0 2 1
ACQUISITION 0 0 0 105 0
Lennar 0 0 0 3 3
&lt;DCA>. 0 0 0 1 0
Consequently, 0 0 1 2 1
Stock 1 2 3 22 16
suspended 6 1 11 6 10
subordinated 0 0 0 33 12
debentures 0 0 0 32 13
1993 0 0 1 1 0
1994. 0 0 0 1 1
traded 4 9 29 19 4
over-the-counter. 0 0 0 2 0
NATIONAL 2 1 1 16 41
DATA 0 0 2 6 16
&lt;NDTA> 0 0 0 0 1
3,516,000 0 0 0 0 1
2,972,000 0 0 0 0 1
40.0 0 0 0 0 8
11.4 0 1 1 1 21
11.2 2 1 0 1 19
73 2 0 3 8 27
8,146,000 0 0 0 0 1
116.8 0 0 0 1 3
105.0 0 0 0 0 1
11.1 0 2 0 4 14
TECHAMERICA 0 0 0 0 1
&lt;TCH> 0 0 0 0 1
562,231 0 0 0 0 1
10,253 0 0 0 0 1
8,871,874 0 0 0 0 1
9,549,308 0 0 0 0 1
5,058,145 0 0 0 0 1
766,185 0 0 0 0 1
34.3 0 0 0 0 6
35.5 0 0 0 2 4
THOMPSON 0 0 0 0 2
&lt;TM> 0 0 0 0 2
MAGELLAN 0 0 0 0 1
&lt;MPET> 0 0 0 0 1
90,656 0 0 0 0 1
892 0 0 0 0 1
2,194,242 0 0 0 0 1
2,481,784 0 0 0 0 1
19.5 1 0 0 1 15
16.1 5 0 0 0 17
42,824 0 0 0 0 1
149,150 0 0 0 0 1
6,364,992 0 0 0 0 1
6,503,811 0 0 0 0 1
98,338 0 0 0 0 1
81,492 0 0 0 0 1
quartrer 0 0 0 0 1
193,193 0 0 0 0 1
226,560 0 0 0 0 1
mths. 0 0 0 0 37
GABELLI 0 0 0 2 0
EXPLAINS 0 0 0 1 0
SHARES 1 0 0 57 9
Mario 0 0 0 6 0
Gabelli, 0 0 0 2 0
York 16 3 30 106 22
firm 12 1 15 103 34
Gabelli 0 0 0 13 0
"portfolio 0 0 0 1 0
rebalancing" 0 0 0 1 0
meet 32 21 22 26 6
needs 9 10 9 11 2
clients. 1 0 1 5 1
moved 6 4 9 4 3
formed 2 1 4 53 10
&lt;AFG> 0 0 0 3 1
clients 2 0 4 7 6
overweighted. 0 0 0 1 0
Regarding 0 0 1 1 0
Tuesday, 1 1 5 1 1
Reuters, 0 5 2 5 1
"there 3 1 3 2 2
nothing 5 7 5 8 2
me 2 1 3 7 0
buy." 0 1 0 1 0
thinks 0 0 5 3 0
"values 0 0 0 1 0
140 5 1 13 6 4
more" 0 0 0 1 1
more. 1 0 1 2 1
amended 0 0 0 13 1
filings 0 0 0 8 2
passive 0 0 0 2 1
investors. 0 0 2 14 1
remove 3 2 6 10 1
our 39 21 27 52 49
unfolding 0 0 0 1 0
Brown," 0 0 0 1 0
pleased 0 2 2 6 1
A. 0 0 0 15 7
William 3 1 2 21 8
Reynolds 0 0 1 22 6
concept 0 2 4 1 1
greenmail 0 0 0 5 0
"repugnant." 0 0 0 1 0
Greenmail 0 0 0 5 0
refers 0 0 0 1 0
corporation 10 0 1 14 2
premium 1 4 0 18 7
others. 0 0 1 4 0
CREDITANSTALT 0 0 0 0 1
HIGHER 1 4 2 3 60
Creditanstalt-Bankverein 0 0 0 1 1
&lt;CABV.VI> 0 0 0 0 1
likely 24 42 64 33 37
payment 3 35 9 42 50
capital, 1 0 0 7 9
deputy 8 7 4 3 2
general-director 0 0 0 0 1
Guido 0 0 0 1 1
Schmidt-Chiari 0 0 0 0 5
schillings 0 0 0 0 14
2.7 4 3 3 5 15
earlier. 5 3 1 4 35
consolidated 2 0 1 9 28
496.7 0 0 0 0 2
354.5 0 0 0 0 2
elaborate 3 0 5 7 3
forecast. 0 1 0 1 6
group's 4 2 0 21 23
453.4 0 0 0 0 2
425.4 0 0 0 0 2
billion. 4 1 17 1 95
director 10 8 9 32 10
Hannes 0 0 0 0 1
Androsch 0 0 0 0 4
future. 2 2 3 11 16
resulted 3 11 4 6 21
improvements 2 0 3 2 7
services 6 0 5 67 30
schilling 0 0 0 0 5
lending. 0 0 0 0 2
Schilling 0 0 0 0 1
grown 0 5 5 4 2
unsatisfactory 0 1 0 0 4
Increased 0 0 0 0 3
bad 1 4 3 4 17
debts 4 0 6 2 9
home 2 12 1 9 7
abroad, 2 0 2 0 2
America, 1 1 0 7 5
profits, 2 0 0 3 18
figure. 3 1 0 0 4
fallen 7 1 10 0 4
fluctuations, 0 0 0 0 3
removing 1 0 1 0 2
attempt 6 1 14 37 9
representative 1 6 7 2 2
offices 1 2 3 22 6
Tokyo, 2 0 1 1 3
Hong 0 4 4 25 32
Kong, 0 0 1 4 2
Moscow 1 27 0 1 1
Prague. 0 0 0 0 1
welcomed 2 0 6 1 2
abolish 0 2 3 0 1
foreigners 0 0 5 3 1
drawing 5 1 1 0 3
dividends. 1 0 0 3 25
Preference 0 0 0 0 1
state-controlled 0 0 0 0 1
Creditanstalt 0 0 1 0 1
Vienna 4 0 1 0 1
Bourse 0 0 0 1 3
2,008. 0 0 0 0 1
Brokers 0 1 2 0 3
holdings 0 0 14 32 13
performed 1 1 0 2 5
years, 9 19 5 11 26
Creditanstalt, 0 0 0 0 1
Austria's 0 0 1 0 2
bank, 0 0 11 16 9
holds 3 1 7 75 6
majority 5 3 1 56 13
medium-sized 0 1 3 0 1
Austrian 0 0 1 1 1
biggest 10 2 2 8 9
Steyr 0 0 0 0 1
-Daimler-Puch 0 0 0 0 1
&lt;SDPV.VI> 0 0 0 0 1
700 1 3 11 2 8
schillings. 0 0 0 0 1
SCIENTIFIC 0 0 0 3 5
MICRO 0 0 0 1 1
&lt;SMSI> 0 0 0 1 1
REVENUES 1 0 0 0 5
Scientific 0 0 0 7 7
Micro 0 0 0 6 1
experienced 2 2 2 1 2
revenue 22 3 1 13 33
across 3 6 3 2 2
lines 2 3 0 6 11
experience 2 0 2 7 5
profitability 2 1 1 3 22
significant 13 13 9 19 33
earnings. 2 0 1 11 29
NORTH 4 2 0 2 11
HOLDING 0 0 0 9 6
&lt;NAHL> 0 0 0 0 2
Dec 2 0 0 6 44
6,891 0 0 0 0 1
590,460 0 0 0 0 1
6,518,133 0 0 0 0 1
2,521,884 0 0 0 0 1
12.0 0 2 0 3 14
772,703 0 0 0 0 1
758,620 0 0 0 0 1
7,599,017 0 0 0 0 1
13.2 0 0 0 3 10
10.9 1 0 0 2 18
GREYHOUND 0 0 0 2 0
&lt;G> 0 0 0 2 0
MOTORS 0 0 0 6 5
&lt;GM> 0 0 0 2 3
BUS 0 0 0 2 0
Greyhound 0 0 0 6 0
Transit 0 0 0 2 0
Bus 0 0 0 2 0
Parts 0 0 2 5 1
sum. 0 0 0 11 0
tentatively 2 0 0 8 0
tooling, 0 0 0 1 0
design 0 0 0 5 1
urban 0 0 1 1 0
transit 0 0 1 1 0
buses, 0 0 0 1 0
inventories 11 0 2 3 1
trademark 0 0 0 1 0
identification. 0 0 0 1 0
incudes 0 0 0 1 0
GM's 0 0 0 1 5
labor 0 1 4 7 11
relocate 0 1 0 1 1
facilities, 0 0 0 4 0
Pontiac, 0 0 0 1 0
Michigan, 0 0 0 3 2
undetermined 1 0 0 1 0
location. 0 0 0 1 0
STORES 0 0 0 7 49
1.57 0 0 0 0 11
1.60 0 0 16 0 20
COURT 3 0 1 12 0
REJECTS 0 7 1 29 0
BUITONI 0 0 0 1 0
APPEAL 0 0 0 2 0
IRI 0 0 0 2 0
FOOD 0 4 1 6 3
appeal 1 3 1 10 0
Buitoni 0 0 0 2 0
SpA 0 0 0 8 0
Italian 3 3 8 20 2
food 1 29 4 27 25
SME 0 0 0 1 0
Societa 0 0 0 2 0
Meridionale 0 0 0 1 0
Finanziaria 0 0 0 2 0
contractually 0 0 0 2 0
binding 0 1 1 6 0
rejected, 0 2 0 2 0
rejected 7 10 6 47 1
Buitoni's 0 0 0 1 0
497 0 0 1 1 1
lire 0 0 2 4 9
Istituto 0 0 0 1 0
la 0 1 0 2 1
Ricostruzione 0 0 0 1 1
Industriale 0 0 0 1 1
contract. 0 0 1 3 2
upholds 0 0 0 1 0
controlled 0 1 0 45 3
CIR 0 0 0 1 0
Compagnie 3 0 0 7 1
Industriali 0 0 0 1 0
Riunite, 0 0 0 1 0
Ing 0 0 5 3 0
Olivetti 0 0 0 7 0
(OLIV.MI> 0 0 0 1 0
Carlo 0 0 0 2 0
Benedetti. 0 0 0 1 0
HARTFORD 0 0 0 0 4
&lt;HNAT> 0 0 0 0 2
JOHN 0 0 0 1 7
LABATT 0 0 0 0 4
FOURTH 2 0 0 0 6
QUARTER, 0 0 0 0 1
&lt;John 0 0 0 0 1
Labatt 0 0 0 0 1
anticipates 0 0 0 0 10
peak 8 0 8 1 4
Peter 3 3 3 7 4
Widdrington 0 0 0 0 3
analysts. 4 1 2 3 15
forecast, 0 0 0 0 2
brewing 0 0 0 9 2
Labatt's 0 0 0 0 3
92.8 0 0 0 0 2
Revenue 6 1 0 0 5
3.20 0 0 0 0 4
2.70 0 0 0 0 4
three-year 2 1 3 2 9
plan, 1 6 1 18 5
updated, 0 0 0 1 1
Labatt, 0 0 0 0 1
brewer, 0 0 0 1 1
acquisitions. 2 0 0 1 11
strategy 4 0 3 17 9
stemmed 0 0 0 1 2
beverage 0 3 0 4 3
rising 18 9 23 4 17
1988, 4 2 5 13 17
VOTING 0 0 0 1 0
HIKED 0 0 0 1 0
UNION 1 3 0 16 7
ENTERPRISES 0 0 0 2 21
Enterprises 0 0 0 32 8
holders 1 0 2 53 107
7.2 0 3 0 11 10
80 13 10 8 57 46
series 7 3 7 14 10
preferred 2 1 4 90 94
requested 4 9 1 15 2
retract 0 0 0 1 0
issue, 2 1 3 2 0
thus 2 2 12 5 2
&lt;Unicorp 0 0 0 2 0
Corp>'s 0 0 0 4 0
50. 0 0 0 2 1
90 1 14 7 23 37
retraction, 0 0 0 1 0
lines. 1 0 0 6 1
CHILDREN'S 0 0 0 0 1
DISCOVERY 3 0 0 0 1
&lt;CDCRA> 0 0 0 0 1
509,471 0 0 0 0 1
163,840 0 0 0 0 1
2,623,974 0 0 0 0 1
1,835,580 0 0 0 0 1
494,352 0 0 0 0 1
173,948 0 0 0 0 1
3,551,429 0 0 0 0 1
reflects 2 3 1 2 26
290,000 0 2 1 0 6
non-recurring 0 0 0 1 18
related 8 1 3 35 49
changes. 3 1 1 1 1
Children's 0 0 0 0 1
Discovery 0 0 0 0 1
Centers 0 0 0 7 1
NARRAGANSETT 0 0 0 2 0
BROADCASTING 0 0 0 10 3
&lt;FTNC> 0 0 0 0 1
29 0 3 1 18 78
513,542 0 0 0 0 1
263,708 0 0 0 0 1
38,000 0 2 0 0 2
417,552 0 0 0 0 1
142,010 0 0 0 0 1
171,000 0 0 0 0 1
GRANTS 0 10 0 0 0
LICENCES 0 13 0 0 0
197,000 0 2 0 0 1
TONNES 0 53 0 0 0
FREE 1 8 0 0 4
ZERO 0 2 0 0 0
PARIS 0 6 17 2 0
TRADERS 2 15 0 2 0
GRAIN 0 72 0 0 0
CARLOADINGS 0 2 0 0 0
carloadings 0 2 0 0 0
totaled 5 5 1 7 15
25,744 0 1 0 0 0
cars 0 2 0 2 5
28, 1 6 4 6 25
4.3 1 3 1 4 12
41.6 0 2 0 0 2
corresponding 0 3 2 0 3
Railroads 0 2 0 1 0
reported. 7 5 2 2 0
Grain 0 65 0 2 0
mill 0 2 0 4 3
loadings 0 2 0 0 0
10,920 0 1 0 0 0
cars, 0 2 1 1 3
0.1 6 4 0 0 5
earlier, 7 10 2 6 19
association 2 14 0 14 2
MORGAN 0 0 0 0 5
GRENFELL 0 0 0 0 2
