crude grain money-fx acq earn
commitments 1 11 4 8 0
mortgage 0 0 2 10 12
INVESTOR 0 0 0 24 0
explore 6 1 1 16 0
fair 0 2 0 19 3
subsidy 1 22 0 1 0
result, 2 2 4 4 12
deferred 0 0 0 2 22
13. 3 2 0 5 14
reserves. 10 1 6 0 7
highest 8 7 2 2 5
ruled 9 6 4 5 0
Ltd>. 0 0 0 15 9
stronger 3 1 11 3 6
CASH 1 3 0 5 15
dry 1 22 0 0 1
management, 0 0 0 18 6
one, 4 1 3 8 8
FRANCE 0 4 15 4 1
gained 3 4 6 3 8
level, 8 4 7 1 4
INT'L 0 0 0 14 10
processing 2 3 0 15 4
Santa 3 5 0 16 0
advanced 0 5 2 13 4
10.2 2 5 2 0 15
3.4 3 2 3 5 11
Japan. 0 1 10 7 6
maturing 0 0 24 0 0
Italian 3 2 5 12 2
analysts. 4 1 2 3 14
association 2 12 0 8 2
actively 0 4 5 7 8
yesterday's 3 3 8 4 6
HAVE 1 3 0 7 13
she 2 6 7 6 3
Lynch 0 1 4 17 2
Most 3 4 12 2 3
bulk 3 10 3 3 5
Smith 4 0 7 8 5
Lambert 0 1 0 14 9
employees 1 1 1 18 3
calendar 2 9 3 2 8
achieved 1 2 4 4 13
Sumita 0 0 24 0 0
cable 0 0 0 16 8
structure 3 4 1 7 9
Shares 0 0 0 16 8
realized 0 1 0 3 20
party 2 3 7 9 3
Atlantic 4 0 0 13 7
96 0 0 1 9 14
test 3 2 11 6 2
SAUDI 20 1 2 0 1
military 12 0 3 6 3
nominal 1 0 2 5 16
confidence 9 0 7 4 4
Harris 3 0 5 12 4
AGREES 0 1 1 22 0
depending 2 4 3 8 7
hoped 6 0 6 9 3
97 2 1 1 2 18
strongly 5 5 6 3 5
sales. 3 0 5 1 15
ratio 0 4 4 4 12
positions 3 0 6 10 5
13.5 2 1 0 1 20
ASSISTANCE 0 0 24 0 0
Monday 1 2 10 10 1
agree 2 5 9 8 0
supported 5 5 6 4 4
87 2 2 1 2 17
bpd, 24 0 0 0 0
ready 6 4 6 7 1
adequate 0 8 8 5 3
attributable 1 1 4 1 17
comparable 1 0 0 3 20
involving 1 3 4 9 6
foster 1 0 22 0 0
restricted 3 1 2 16 1
SPLIT, 0 0 0 0 23
600,000 0 3 0 7 13
8 1 2 5 5 10
Mining 0 0 1 16 6
POLICY 2 4 15 1 1
interview. 6 4 9 1 3
getting 3 6 6 4 4
file 1 4 0 14 4
jointly 1 1 5 16 0
medium 3 3 8 4 5
BP 8 0 0 13 2
Imperial 4 0 0 10 9
Brazil's 7 2 6 1 7
payments. 0 13 1 3 6
Chrysler 0 0 0 18 5
3.8 3 4 1 4 11
SOUTH 4 5 2 8 4
pushed 3 2 11 6 1
Agricultural 0 22 0 0 1
session. 0 0 23 0 0
450 1 4 9 5 4
&lt;GY> 0 0 0 21 2
DEALERS 0 0 22 1 0
defense 4 0 0 8 11
1.0 2 6 4 0 11
Iraq 19 3 0 0 1
Italy 0 12 4 5 2
optimistic 6 3 1 2 11
defend 10 0 8 3 2
sentiment 5 1 16 1 0
stressed 2 4 10 4 3
decrease 6 4 2 1 10
12.1 0 0 1 2 20
13.1 0 2 0 2 19
mining 1 0 1 14 7
opportunities 5 0 2 7 9
harvest 1 21 0 1 0
13.8 0 3 0 4 16
termination 0 0 0 10 13
retirement 0 0 0 5 18
balances 0 0 22 1 0
half. 2 0 2 0 19
DATA 0 0 2 6 15
140 3 1 9 6 4
corporation 6 0 1 14 2
UNION 1 3 0 13 6
management. 0 0 0 17 6
Stores 0 0 0 13 10
Texas, 3 0 0 14 6
adopted 2 3 6 8 4
Merrill 0 1 4 16 2
arrange 0 1 13 8 1
limits 3 4 6 8 2
OFFICIAL 8 5 6 3 1
bank. 2 0 8 8 5
6.7 0 3 3 5 12
Brazilian 6 4 3 2 8
quarters 3 1 4 1 14
noting 3 3 4 3 10
Food 0 6 0 13 4
reorganization 2 1 0 7 13
shr. 0 0 0 0 23
Burnham 0 2 0 14 7
recommendation 2 0 3 10 8
Charles 3 6 0 11 3
Mark 0 1 3 19 0
March. 4 3 7 4 5
industries. 3 0 5 12 3
bonds 1 1 10 7 4
exports, 7 7 7 1 1
advance 0 10 4 8 1
According 3 3 3 10 4
March, 4 5 5 3 6
division. 1 0 3 9 10
eventually 8 0 4 8 3
develop 7 1 1 9 5
planting 1 22 0 0 0
survey 9 5 7 0 2
BANCORP 0 0 0 7 16
7.6 2 2 1 4 14
More 4 5 2 8 4
interest. 1 2 0 14 6
programs 2 11 0 4 6
Technology 0 0 0 14 9
Standard 2 0 1 16 4
narrow 2 3 17 0 1
extremely 2 2 15 1 3
enhancement 0 21 0 1 1
OUTPUT 17 6 0 0 0
borrowing 2 1 14 3 3
funds, 0 2 15 4 2
franc 0 0 10 3 10
depend 0 4 5 6 8
one. 2 0 5 9 7
focus 0 3 5 12 3
Commercial 0 0 6 11 6
Express 0 0 0 23 0
weekend 5 3 10 4 1
planning 1 6 5 7 4
Enhancement 0 23 0 0 0
said: 10 2 5 4 2
125 0 4 0 8 10
legislation 5 10 3 2 2
22, 1 0 12 3 6
stage 4 5 6 3 4
dealing 1 6 10 3 2
sector, 2 1 6 3 10
5.3 1 0 8 4 9
PLC> 1 0 0 16 5
warned 9 4 5 2 2
Louisiana 12 4 0 4 2
AIR 0 1 0 18 3
quickly 2 2 7 6 5
conference. 6 0 1 5 10
allowing 3 3 2 8 6
brokers 0 2 12 5 3
traditional 3 1 8 4 6
CROP 0 22 0 0 0
AFG 0 0 0 20 2
9.8 3 1 0 11 7
components 0 0 0 12 10
intervention, 0 2 20 0 0
month's 2 1 18 1 0
francs. 0 0 1 7 14
developed 4 3 4 7 4
ranges 0 1 21 0 0
carryforward 0 0 0 1 21
formerly 2 0 2 8 10
introduction 0 3 8 3 8
gasoline 19 0 0 2 1
particular 2 3 6 3 8
OVER 2 2 3 15 0
engineering 2 1 1 8 10
hectares 0 22 0 0 0
12.8 0 4 1 4 13
FOREIGN 6 3 8 5 0
170 1 0 8 7 6
Salomon 4 0 2 13 3
opinion 0 1 5 4 12
ensure 3 4 6 5 4
economy, 1 1 17 1 2
11.4 0 1 1 1 19
remove 3 2 6 10 1
deputy 8 6 3 3 2
fallen 7 1 10 0 4
700 1 2 9 2 8
lines 2 3 0 6 11
ENTERPRISES 0 0 0 2 20
Co's 1 0 0 12 9
earnings, 0 1 0 2 19
yr 0 0 0 0 22
propose 7 3 1 8 3
ELECTRONICS 0 0 0 4 18
15.5 3 0 0 3 16
apply 1 10 3 6 2
concerning 1 0 4 13 4
INTERVENTION 0 8 14 0 0
INVESTORS 1 0 2 8 11
produces 3 1 0 14 4
one-time 0 2 0 3 17
rate, 0 3 11 3 5
region 10 3 4 2 3
expenditure 9 1 3 0 9
always 2 6 4 4 6
purposes 0 1 0 19 2
Assets 0 0 0 1 21
Drexel 0 2 0 13 7
Per 1 0 0 0 21
GAIN 0 0 0 4 18
managing 1 3 4 10 4
17. 0 1 2 9 10
downward 3 2 12 1 4
it," 2 5 3 8 4
economist 2 0 20 0 0
concluded 3 4 2 12 1
rules 3 3 7 5 4
Consolidated 0 0 0 12 10
11.7 2 0 0 6 14
3.9 1 0 0 3 18
UNITS 0 0 2 19 1
conditions, 0 4 5 10 3
issue. 0 2 2 12 6
privately 1 0 0 18 3
excluding 3 2 0 4 13
Exxon 17 0 0 3 2
Iranian 20 0 0 1 1
59 0 2 0 4 16
headed 6 1 3 10 2
certificate 0 10 1 1 10
capital. 0 0 2 16 4
reverse 2 2 1 1 16
16. 0 3 0 5 14
goes 5 2 9 5 1
firmed 3 2 7 6 4
By 2 4 3 5 8
concentrate 0 2 2 11 7
9-7/8 0 0 21 0 1
9-13/16 0 0 22 0 0
government, 2 4 8 7 1
leaving 2 6 4 7 3
strength 1 0 8 5 8
course 4 2 6 9 1
contribute 1 2 4 5 10
year," 5 4 5 0 8
behalf 2 0 7 13 0
indicate 4 8 4 2 4
She 3 4 3 8 4
rival 1 0 1 19 1
opportunity 3 3 3 12 1
SAY 2 3 13 2 2
car 0 0 0 14 8
managers 1 0 3 14 4
BIDS 4 5 0 13 0
laws 0 0 1 17 3
900,000 1 5 0 5 10
date. 3 1 3 7 7
regarding 1 3 6 9 2
governments 2 4 9 4 2
reiterated 7 0 3 7 4
therefore 2 5 2 5 7
profit, 0 0 0 1 20
TEXAS 4 3 0 6 8
17.6 0 0 1 4 16
feel 3 4 6 5 3
why 3 2 6 9 1
competing 1 4 0 16 0
soybeans 0 21 0 0 0
annually 2 9 1 5 4
Such 3 2 5 8 3
announce 2 1 3 9 6
revenues. 6 0 0 7 8
SERVICE 0 0 0 8 13
resume 8 2 3 2 6
year-earlier 0 1 0 0 20
Budget 3 6 11 1 0
DEAL 2 0 0 18 1
17.5 2 2 0 2 15
projects 8 1 1 4 7
season, 0 20 0 0 1
Venezuela 18 2 0 0 1
reductions 4 7 1 2 7
running 7 4 4 4 2
wholesale 2 1 2 9 7
HOUSE 2 7 2 4 6
claims 2 3 0 7 9
available. 2 3 0 12 4
session 5 2 14 0 0
Mthly 0 0 0 0 21
TAKE 0 0 2 7 12
1.51 0 1 0 1 19
TAKES 0 0 0 14 7
described 2 2 5 11 1
7.7 1 5 1 2 12
ASSETS 0 0 2 19 0
unspecified 5 1 3 9 3
Dollar 0 0 14 0 7
SOUTHERN 0 1 0 10 10
Director 2 5 6 4 4
down. 2 0 15 2 2
external 2 0 15 1 3
future, 2 1 9 7 2
11.2 2 1 0 1 17
A. 0 0 0 15 6
bad 1 3 3 3 11
profits, 2 0 0 3 16
Moscow 1 18 0 1 1
peak 8 0 8 1 4
7.2 0 3 0 8 10
PARIS 0 4 15 2 0
4.3 1 3 1 4 12
INCREASES 2 0 0 1 18
SIX 0 0 0 4 17
MAIZE 0 21 0 0 0
27. 3 0 0 9 9
bringing 3 3 10 3 2
grounds 1 3 7 9 1
1.20 1 1 0 0 19
CONTROL 0 0 0 17 4
Bankers 4 0 8 5 4
yields 0 8 11 0 2
break 2 5 4 3 7
35,000 5 5 0 4 7
Deposits 0 0 2 0 19
chemicals 1 0 0 13 7
Donald 2 0 0 14 5
1.30 1 3 0 0 17
got 2 4 3 6 6
110 1 1 3 15 1
FEBRUARY 10 5 2 0 4
Great 0 3 1 11 6
morning. 2 2 13 4 0
rapid 1 1 12 3 4
sufficient 1 2 3 9 6
1.55 1 0 3 3 14
Program 1 19 0 1 0
Mths 0 0 0 0 21
Excludes 0 0 0 0 21
equipment. 0 0 1 15 5
Houston 6 1 0 9 5
air 8 2 0 8 3
shareholders' 1 0 1 7 12
ALLEGHENY 0 0 0 20 1
area. 6 3 0 8 4
beyond 2 0 3 9 7
damaged 12 8 0 0 1
partner 2 0 1 16 2
SERVICES 1 0 0 2 18
so-called 3 5 6 5 2
diversified 1 0 1 12 7
10.7 3 0 2 1 15
summer 4 12 0 3 2
Dixons 0 0 0 20 1
Banks 0 0 11 5 5
currencies, 0 0 19 0 2
Far 5 0 4 9 3
Europe, 4 0 7 5 5
&lt;CYL> 0 0 0 21 0
BOARD 0 2 0 16 3
trader 3 7 9 2 0
decisions 5 5 5 5 1
becoming 2 2 11 4 2
subsidized 1 20 0 0 0
1.16 1 0 0 2 18
groups 3 7 1 9 1
miles 15 0 0 4 2
imported 11 7 3 0 0
stay 5 3 5 5 3
SOLD 0 13 0 8 0
actual 5 7 2 2 5
identify 2 3 0 15 1
deficiency 0 18 0 2 1
sign 5 4 4 8 0
flat 2 1 7 0 11
AGAINST 2 0 10 7 2
morning, 0 1 17 1 2
restrictions 6 1 5 8 1
businesses. 0 0 0 15 6
informed 2 0 0 18 1
broad 3 3 11 1 2
let 5 2 8 3 2
PROPERTIES 1 0 0 4 15
located 3 0 2 13 2
WESTERN 0 1 2 12 5
INSURANCE 0 0 0 3 17
moderate 3 5 9 0 3
alternatives 0 1 1 17 1
incentives 13 3 1 1 2
nuclear 1 1 1 4 13
remainder 2 2 1 8 7
suspension 8 1 4 0 7
returned 7 1 4 2 6
Office 2 10 1 5 2
FIVE 1 0 0 9 10
deal. 2 0 0 17 1
receiving 0 3 1 11 5
REALTY 0 0 0 2 18
9.5 0 2 4 6 8
13.3 0 1 0 5 14
affiliated 0 1 0 17 2
8.0 0 3 2 4 11
officer, 0 1 0 7 12
awarded 2 15 0 1 2
Medical 0 0 0 16 4
uncertainty 5 3 5 3 4
Lower 2 3 13 0 2
incurred 0 0 2 6 12
francs, 0 0 1 4 15
Swedish 3 0 1 13 3
lowest 4 9 4 2 1
areas. 1 7 0 6 6
area, 3 9 1 3 4
suffered 4 5 1 1 9
deposit 0 0 10 5 5
cts, 0 1 1 1 17
DEFICIT 0 0 19 1 0
exchequer 0 0 20 0 0
APPROVES 1 5 1 11 2
REVISED 0 0 18 2 0
Domestic 6 2 3 1 8
expires 0 4 4 11 1
begun 0 3 7 8 2
debts 4 0 6 2 8
10.9 1 0 0 2 17
Peter 3 3 3 7 4
reasonable 3 3 3 7 4
replace 2 1 7 6 4
branches 0 0 2 14 4
1.35 1 3 0 2 14
Computer 0 0 0 14 6
priced 4 7 3 3 3
electronics 0 0 1 17 2
chain 0 0 1 15 4
3.0 4 1 2 1 12
1.08 0 0 0 1 19
debt, 1 0 4 10 5
amounted 0 8 2 1 9
normally 3 6 6 2 3
division, 0 0 0 15 5
Department's 1 17 0 2 0
27, 1 2 1 5 11
Data 1 0 3 12 4
losses, 0 1 1 1 17
chemical 0 1 0 12 7
speculated 1 1 1 16 1
financing. 0 0 0 18 2
SA 1 0 0 9 10
10,000 4 6 2 2 6
25,000 2 14 0 1 3
ECUADOR 19 1 0 0 0
spend 6 1 1 6 6
5.9 0 1 0 8 11
ease 5 2 12 1 0
hours 1 3 7 9 0
doesn't 4 2 2 8 4
speculative 0 1 19 0 0
CCC 0 20 0 0 0
CREDIT 1 2 6 6 5
doing 1 6 5 8 0
Martin 0 0 1 14 5
subsidies 2 13 4 0 1
rumors 1 5 1 12 1
79 0 0 0 3 17
follows 2 5 2 10 1
States. 5 2 4 4 5
writedowns 0 0 0 0 20
listed 0 0 1 12 7
Iran 16 3 0 1 0
complex 7 2 2 5 4
leaders 8 7 4 1 0
requirement 0 4 7 4 5
determination 8 2 3 6 1
proved 10 2 4 3 1
MINISTER 13 2 4 1 0
stand 3 2 11 4 0
cooperation 5 1 9 4 1
success 0 1 11 3 5
Monday, 4 4 7 4 1
operators 0 8 12 0 0
Spain 0 11 5 4 0
institutions 1 0 7 9 3
THE 1 4 5 2 8
fee 13 0 0 4 3
protection 4 4 1 8 3
turn 5 2 1 4 8
favour 5 1 8 5 1
circumstances 2 1 5 7 5
GOLD 0 0 0 6 14
follow 3 3 5 8 1
workers 8 3 1 5 3
Peabody 0 0 0 14 6
represent 2 1 0 12 5
Calif., 1 0 0 18 1
transport 9 8 1 2 0
17.8 0 3 0 1 16
reference 4 2 9 5 0
CHANGES 1 6 6 5 2
accord, 2 2 15 1 0
crowns 2 0 0 3 15
wheat. 0 20 0 0 0
135 5 2 3 5 5
owner 0 0 0 18 2
list 2 5 0 9 4
nor 4 2 3 10 1
BANKS 0 0 7 7 6
Piedmont 0 0 0 20 0
COMMUNICATIONS 0 0 0 4 16
6.2 0 0 2 8 10
EARLY 1 0 17 1 1
Cash 0 2 0 1 17
Trans 0 0 0 20 0
advised 3 2 1 14 0
appointed 4 1 1 12 1
repay 1 1 1 13 3
G-6 0 0 19 0 0
adjustments 1 4 5 2 7
economies 2 0 11 3 3
planted 0 19 0 0 0
issues, 0 3 7 4 5
my 4 4 7 3 1
proceed 4 2 0 11 2
individual 4 4 1 5 5
generate 2 1 2 7 7
Power 1 1 0 7 10
C 0 4 0 12 3
areas, 5 9 1 1 3
BETTER 1 0 3 1 14
Wagner 0 0 0 17 2
compete 0 3 2 9 5
15.9 1 0 0 1 17
26, 0 5 1 7 6
controlling 0 1 1 16 1
CHARGE 0 0 0 0 19
charged 3 0 0 4 12
room 2 2 14 1 0
quite 3 3 9 2 2
URGES 5 4 7 3 0
governor 2 1 15 0 1
conversion 1 1 1 9 7
BOOSTS 0 3 0 12 4
litigation 0 0 0 12 7
widely 0 1 11 4 3
16.7 2 5 1 0 11
TAIWAN 0 11 8 0 0
liquidity, 0 1 18 0 0
take-up 0 0 19 0 0
2.50 0 2 2 3 12
1.12 1 1 1 1 15
fear 2 7 10 0 0
12.0 0 2 0 3 14
thus 2 2 10 3 2
slipped 7 0 7 2 3
lifted 4 2 2 6 5
distributor 0 0 0 14 5
1.34 0 1 0 0 18
Electronics 0 0 0 10 9
ongoing 1 1 1 5 11
JANUARY 3 3 3 0 10
delay 0 5 3 6 5
84 0 1 0 5 13
5 2 7 1 5 4
sells 1 3 0 11 4
personal 3 0 5 7 4
liability 2 0 3 5 9
1.78 1 0 0 0 18
POWER 0 0 0 1 18
appreciation 1 0 11 1 6
750 3 2 12 1 1
1.23 0 4 1 0 14
grades 17 1 0 0 1
ENDED 0 1 0 1 17
June, 1 4 2 4 8
Manufacturing 0 1 1 12 5
million 3 2 2 2 10
authority 1 4 7 7 0
plants 3 1 0 8 7
1.11 1 0 1 1 16
29, 0 0 0 3 16
quality 4 7 2 3 3
15. 0 0 1 5 13
respect 2 0 2 11 4
Kuwait 15 0 3 1 0
Commission. 1 1 0 16 1
250,000 3 4 1 4 7
two-thirds 9 2 1 5 2
proposal, 3 2 0 12 2
now, 4 0 8 5 2
store 0 1 0 6 12
99 0 3 0 1 15
join 0 1 8 8 2
sectors 3 1 1 3 11
Futures 5 10 4 0 0
aware 3 1 4 10 1
out. 5 4 5 3 2
became 2 2 2 6 7
shift 2 6 6 1 4
entitled 0 2 0 10 7
threatened 8 4 4 3 0
marks, 0 0 8 1 10
Clayton 0 5 7 7 0
Revenues 0 0 0 1 18
it, 4 6 5 1 3
prime 1 1 7 5 5
Courier 0 0 0 18 1
extension 3 2 1 11 2
states. 4 1 2 11 1
86 0 1 0 1 17
12.2 2 0 1 2 14
change. 1 2 5 2 9
portfolio 0 0 2 5 12
Lyng 0 19 0 0 0
goal 4 3 5 3 4
slide 5 0 13 0 1
Year-ago 0 0 0 0 19
FARM 0 19 0 0 0
meant 2 4 5 2 6
EXPRESS 0 0 0 11 8
guarantee 3 11 1 4 0
linked 1 1 7 7 3
branch 0 0 3 11 5
Chancellor 3 0 16 0 0
12.4 0 3 0 2 14
Network 0 0 3 13 3
Investors 1 0 0 12 6
visit 7 6 3 3 0
purchasing 0 5 3 10 1
Telephone 0 0 0 8 11
expanding 0 4 2 10 3
earn 0 1 1 1 16
BUSINESS 0 1 0 12 6
Carl 1 0 0 17 1
Traders 7 4 2 4 2
am 7 0 4 5 3
hearing 1 5 1 10 1
activities. 0 1 1 7 9
things 1 3 6 7 1
enhance 3 1 3 8 3
debit 0 0 0 0 18
proposal. 1 1 0 16 0
halt 8 2 4 2 2
talking 1 2 7 7 1
TAFT 0 0 0 17 1
pursue 0 0 3 13 2
Sachs 0 0 0 14 4
firms, 3 0 2 11 2
19.9 0 0 0 8 10
dealings 0 0 3 14 1
apparently 4 0 6 7 1
assumption 1 2 3 12 0
9.6 0 3 0 6 9
engaged 1 2 3 11 1
8.3 3 4 1 3 7
officers 0 0 0 12 6
speaking 8 1 3 4 2
Germany's 1 0 10 5 2
Daniel 5 8 0 1 4
permit 3 4 0 9 2
kind 6 1 5 5 1
150,000 5 6 0 2 5
council 3 3 10 1 1
7.8 1 5 0 3 9
8.4 2 4 0 4 8
sorghum 0 18 0 0 0
and, 1 5 7 1 4
STOCKS 15 3 0 0 0
demand. 3 3 7 0 5
exchanged 0 3 1 13 1
boards 0 0 0 18 0
satisfied 3 1 8 5 1
rise. 5 2 11 0 0
11.1 0 2 0 3 13
16.1 2 0 0 0 16
elaborate 3 0 5 7 3
non-recurring 0 0 0 1 17
elaborate. 5 1 3 4 5
Monday. 1 1 6 7 3
failure 4 0 6 6 2
Kansas 1 11 0 4 2
4.8 0 2 4 5 7
Governor 0 0 17 1 0
1.38 2 0 0 2 14
RECORD 0 3 2 1 12
agreements. 2 1 10 4 1
securities. 0 0 3 7 8
Daily 4 8 3 2 1
25, 0 4 3 2 9
FOODS 0 0 0 5 13
Pty 1 2 0 11 4
USDA's 0 18 0 0 0
FIRMS 3 0 1 14 0
SOVIET 1 17 0 0 0
union 3 4 2 7 2
1.62 0 0 0 3 15
severe 3 6 3 1 5
expecting 3 3 5 1 6
Sun 5 0 0 8 5
88 1 0 0 1 16
shipped 3 14 0 0 1
clearly 2 2 10 2 2
electronic 0 0 2 9 7
pointed 3 0 6 6 3
consistent 1 1 11 3 2
Satoshi 0 0 18 0 0
1984. 2 5 1 4 6
FUND 0 0 1 7 10
5.2 1 0 1 6 10
guarantees 7 9 1 1 0
compensate 7 5 1 1 4
IS 0 0 6 11 1
unsolicited 0 0 0 18 0
waiting 5 7 1 4 1
declining 6 0 1 4 7
14.8 1 0 0 6 11
TELECOM 0 0 0 11 7
war 9 1 3 5 0
firm's 1 0 0 12 5
heavily 4 1 6 4 3
COMMENT 0 2 5 9 2
consortium 4 0 1 10 3
movements 4 0 13 0 1
event 1 3 4 9 1
rule 4 2 3 6 3
Arabian 15 0 2 0 1
leader 4 8 2 2 2
exceeding 4 1 3 3 7
widespread 2 6 10 0 0
lift 9 2 3 2 2
keeping 4 2 8 2 2
country. 3 5 4 5 1
1,000 3 4 0 3 8
restructure 4 2 1 8 3
imposed 5 6 5 1 1
term, 2 1 9 1 5
TECHNOLOGIES 0 0 0 3 15
interbank 1 0 16 0 1
lend 9 1 5 3 0
160 2 1 1 8 6
unavailable 1 1 3 7 6
9.7 1 1 0 7 9
sure 6 4 1 3 4
Purolator 0 0 0 18 0
twice 0 2 5 8 3
refining 13 0 0 0 5
meetings 0 2 8 7 1
"Our 3 1 1 7 6
Income 1 1 0 2 14
beneficial 1 1 4 9 3
value. 1 1 5 7 4
debate 2 5 8 3 0
upward 2 5 10 0 1
grew 0 1 7 2 8
uncertain 1 3 4 3 7
demand, 4 5 5 0 4
considerable 4 3 3 2 6
covered 1 10 1 2 4
conducted 3 1 8 1 5
organization 7 3 0 5 3
4.7 3 1 0 1 13
growth, 0 1 7 2 8
attention 3 3 6 3 3
RAISE 6 0 1 8 3
15.4 0 1 0 5 12
loss, 0 0 0 2 16
"That 2 4 7 3 2
4.9 2 0 0 4 12
industrialised 1 1 16 0 0
Production 6 7 0 4 1
Northern 3 2 0 9 4
aggressively 1 0 12 2 3
91 0 0 1 3 14
11.6 1 0 0 0 17
friendly 2 2 0 14 0
During 1 3 3 2 9
law, 2 5 1 9 1
THREE 0 0 1 3 14
1983 2 2 2 4 8
initially 2 6 2 6 2
care 1 2 0 12 3
10, 0 5 1 2 10
Jersey 0 1 0 15 2
bushel 0 18 0 0 0
&lt;TWA> 0 0 0 18 0
aim 0 6 3 7 2
When 1 6 3 6 2
threat 7 2 5 0 4
trading, 0 0 9 4 4
Rep. 1 14 0 2 0
U.S 4 7 5 1 0
TREASURY'S 2 0 15 0 0
industrialized 2 0 15 0 0
UNCHANGED 1 3 9 0 4
16.2 0 1 0 5 11
expired 0 0 0 17 0
perhaps 1 4 9 1 2
direction 2 1 7 4 3
sugar 1 10 0 6 0
Broadcasting 0 0 1 14 2
&lt;C> 0 0 0 13 4
GenCorp 0 0 0 16 1
comprised 0 6 1 6 4
belief 4 1 5 7 0
OPERATIONS 2 0 0 10 5
acting 1 1 3 9 3
currencies. 0 0 15 0 2
13.9 0 0 0 0 17
Soybean 1 16 0 0 0
CABLE 0 0 0 12 5
10.8 1 3 0 0 13
except 0 2 2 6 7
Of 0 2 2 7 6
resigned 0 0 0 12 5
banker 1 0 5 7 4
September, 5 1 8 2 1
26. 1 2 2 4 8
global 1 3 6 4 3
Latin 8 0 1 1 7
Ohio 2 1 0 9 5
metals 1 0 1 10 5
temperatures 0 17 0 0 0
lack 5 5 3 1 3
Also 0 2 2 4 9
carryforwards. 0 0 0 1 16
systems. 1 0 1 11 4
mostly 4 0 2 5 6
1985/86. 2 8 0 2 5
offsetting 2 0 12 1 2
common. 0 0 0 16 1
investors. 0 0 2 14 1
capital, 1 0 0 7 9
NORTH 2 2 0 2 11
certainly 6 4 2 2 3
contribution 0 0 3 3 11
COS 0 0 0 2 15
distribute 0 1 1 6 9
20, 2 2 2 4 7
won 3 5 2 1 6
advances 0 1 12 1 3
old 4 2 5 1 5
calculated 2 5 2 4 4
time," 0 3 6 6 2
EXTENDS 1 2 0 14 0
33.5 1 0 0 1 15
Long 0 4 2 5 6
faster 1 2 8 3 3
2.20 3 0 1 4 9
16.3 3 1 0 3 10
profit. 0 0 0 2 15
15.6 2 0 1 3 11
1986's 2 1 0 0 14
obtaining 0 2 1 10 4
1.19 0 1 0 2 14
something 1 3 6 4 3
simply 1 3 8 4 1
benchmark 16 0 1 0 0
joined 4 2 4 6 1
AFTER 1 0 8 4 4
drill 16 0 0 1 0
MANAGEMENT 0 0 0 9 8
Stanley 2 0 2 10 3
won't 2 5 5 4 1
anything 4 2 8 1 2
regulations 2 1 7 5 2
Corp>. 0 0 0 7 10
tons 3 7 0 5 2
aircraft 5 0 0 7 5
Intermediate 14 3 0 0 0
1.28 0 2 0 0 15
4 1 2 1 3 10
total, 0 1 2 13 1
supplier 2 3 0 10 2
indirect 1 0 10 5 1
timing 2 3 1 8 3
acquisition. 0 0 0 11 6
May, 6 1 0 5 5
increasingly 3 2 8 2 2
floor 2 9 6 0 0
Tuesday 7 3 2 5 0
PARTNERS 0 0 0 8 9
qualified 3 0 0 1 13
answer 2 3 7 2 3
suspend 13 1 1 0 2
publicly 2 0 0 14 1
earthquake 15 0 0 0 2
prospect 7 2 5 1 2
T. 3 0 1 12 1
mutual 0 1 2 10 4
C. 1 1 2 9 4
midnight 0 0 0 17 0
stakes 2 0 0 11 4
guaranteed 2 6 1 5 3
6, 0 6 4 3 4
renewed 3 0 14 0 0
amendment 0 6 0 7 4
F. 0 1 0 10 6
expiration 0 2 0 15 0
Each 0 0 1 10 6
warrant 0 0 1 10 6
respectively 0 4 1 2 10
alone 1 1 10 3 2
EST 0 1 3 12 1
shortfall 5 1 9 0 2
changing 1 4 5 3 4
runs 14 0 1 2 0
payout 1 0 0 0 16
redeem 0 1 1 7 8
bankruptcy 2 0 0 8 7
Laboratories 0 0 0 5 12
Information 8 0 0 6 3
Ltd's 1 0 3 8 5
protectionist 2 1 13 0 1
buys 3 1 8 4 1
Gold 1 0 1 9 6
five-year 3 4 0 7 3
Exchequer 3 0 14 0 0
Nigel 3 0 14 0 0
weakness 5 0 4 0 8
tomorrow, 1 4 7 2 3
Fla., 0 0 0 17 0
cheaper 2 5 6 2 2
unable 2 1 2 7 5
item 0 0 1 2 14
bankers' 0 0 17 0 0
official, 3 7 4 2 1
faced 4 1 3 0 9
Cos 1 0 0 11 5
Farm 0 14 0 1 2
15,000 3 9 1 0 4
comes 5 2 5 2 3
2,000 7 2 2 2 4
cargo 6 7 0 3 1
supplied 9 2 0 5 1
ordered 6 3 1 3 4
HALF 0 2 0 1 14
lose 3 3 5 1 5
ISSUE 0 0 0 5 12
floating 7 0 6 1 3
180 4 2 2 3 6
Speaking 1 6 6 0 4
administration's 3 11 3 0 0
Asian 6 1 5 4 1
May. 0 4 3 7 3
reopen 4 4 0 8 1
services, 2 0 0 6 9
influence 2 3 6 4 2
corp 0 0 0 12 5
98 2 1 2 2 10
Britain's 0 0 6 9 2
manufactures 0 0 1 13 3
Zealand 0 4 1 10 2
3. 0 1 0 3 13
attractive 3 2 2 9 1
takeovers 0 0 0 16 0
6.3 0 0 2 7 7
setting 0 5 7 1 3
Commenting 4 0 5 0 7
partial 0 2 0 6 8
BUYING 0 4 6 6 0
Mortgage 0 0 0 5 11
Sen. 2 14 0 0 0
GREAT 0 0 0 5 11
